Original Filename,Original Path,File Type,Dimensions,File Size,SHA-256,Visual Classification,Likely Content,Sequence/Group,Currently Used By UI?,Approved/Production?,Experimental?,Proposed Destination,Confidence,Notes
Sunny rage animation system (1).zip,C:\Users\jesse\Downloads\\Sunny rage animation system (1).zip,zip,,1368103,be18cd112c9f68742c1fac40e6f06441f4ec8b80ae880246111c035371012015,,,,,,,,,top-level Sunny-named item
Sunny rage animation system.zip,C:\Users\jesse\Downloads\\Sunny rage animation system.zip,zip,,1643241,43128ebc5c44d7551df24a424ead2342725b6e42ba58b964e0e3ad30e8d39e75,,,,,,,,,top-level Sunny-named item
Sunny Stage Power-On.html,C:\Users\jesse\Downloads\\Sunny Stage Power-On.html,html,,5494638,aba4faaeaefacf0899118394bee5472d20c943fadb247d8ee74a15441997df6a,,,,,,,,,top-level Sunny-named item
Sunny Transform.html,C:\Users\jesse\Downloads\\Sunny Transform.html,html,,6112368,7929393e3094d09099099704e30f68d0cfc8be6d592973920947810c54a34700,,,,,,,,,top-level Sunny-named item
sunny-component-library,C:\Users\jesse\Downloads\\sunny-component-library,directory,,,,,,,,,,,,top-level Sunny-named item
sunny-component-library-v1,C:\Users\jesse\Downloads\\sunny-component-library-v1,directory,,,,,,,,,,,,top-level Sunny-named item
sunny-component-library-v1.zip,C:\Users\jesse\Downloads\\sunny-component-library-v1.zip,zip,,1076291,9e84f02b682321c39cdadfbfd2bd8eafdcb9dbfb050dcbfbdee250ec4ef407ff,,,,,,,,,top-level Sunny-named item
sunny-component-library-v2-headbang.zip,C:\Users\jesse\Downloads\\sunny-component-library-v2-headbang.zip,zip,,1223341,e2c1e5f35630df2e208262233199f3675dc3bdf888ec4559e206ec7e5551ff2f,,,,,,,,,top-level Sunny-named item
sunny-component-library.zip,C:\Users\jesse\Downloads\\sunny-component-library.zip,zip,,14318,368cc4021db2785b0db97194203e9bac73d37a4798d6b47a3c1cec08193dfbab,,,,,,,,,top-level Sunny-named item
SUNNY_BODY_REFERENCE_PHOTOS.zip,C:\Users\jesse\Downloads\\SUNNY_BODY_REFERENCE_PHOTOS.zip,zip,,5498181,2bedda5be4acd2872918395bc9a600485cdfefe95fff01152ed8f68aba6f1582,,,,,,,,,top-level Sunny-named item
Sunny_Bull_Approved_Frames_01-10.zip,C:\Users\jesse\Downloads\\Sunny_Bull_Approved_Frames_01-10.zip,zip,,26317213,b995179f1d241f205b1d1525f0b60a7a5fa07ac1b2c4589ee869d4d060b26392,,,,,,,,,top-level Sunny-named item
Sunny_Bull_NORMALIZED_01-10.zip,C:\Users\jesse\Downloads\\Sunny_Bull_NORMALIZED_01-10.zip,zip,,22698598,5f169c423ca3a503ef8e9b1d650e140b26f8ddd3f16a375939e659fed0118ae2,,,,,,,,,top-level Sunny-named item
Sunny_Bull_REGISTERED_01-10.zip,C:\Users\jesse\Downloads\\Sunny_Bull_REGISTERED_01-10.zip,zip,,24611188,0867a0625b359b5820b8e45eefef47f03296cc28edd00d99d8cec6bd78a581eb,,,,,,,,,top-level Sunny-named item
sunny_dance_from_sheet_package.zip,C:\Users\jesse\Downloads\\sunny_dance_from_sheet_package.zip,zip,,53158140,1c928d8102e8d7597b2fc9b69d0191138d1ea77ef619376b73fc33a7f4fc9838,,,,,,,,,top-level Sunny-named item
Sunny_Original_Mechanism_Photos,C:\Users\jesse\Downloads\\Sunny_Original_Mechanism_Photos,directory,,,,,,,,,,,,top-level Sunny-named item
Sunny_Original_Mechanism_Photos.zip,C:\Users\jesse\Downloads\\Sunny_Original_Mechanism_Photos.zip,zip,,4413372,790efbb8253812f405b70a492851cfbdfbf775eeacf6ce112f7ba0514f9c19e8,,,,,,,,,top-level Sunny-named item
Sunny_UI_Reference_Pack_CLEAN,C:\Users\jesse\Downloads\\Sunny_UI_Reference_Pack_CLEAN,directory,,,,,,,,,,,,top-level Sunny-named item
Sunny_UI_Reference_Pack_CLEAN.zip,C:\Users\jesse\Downloads\\Sunny_UI_Reference_Pack_CLEAN.zip,zip,,2211200,2f64e31cc41869ed7cda7b0c1cb6dbabf27427dc2ef4cb7c05ab661bbb946de0,,,,,,,,,top-level Sunny-named item
Sunny_UI_Reference_Pack_FINAL(1).zip,C:\Users\jesse\Downloads\\Sunny_UI_Reference_Pack_FINAL(1).zip,zip,,6838578,399af411461072f7c34eb12018183efc55a5d9185e0fc5d9e4c1dbb5150b9aa8,,,,,,,,,top-level Sunny-named item
sunny_puppet_animation_v2_package.zip,C:\Users\jesse\Downloads\\sunny_puppet_animation_v2_package.zip,zip,,74173853,5782c505ae9515c729c470d349b74592c0b775e929499730f7c005a619c9dfa9,,,,,,,,,top-level Sunny-named item
sunny_rigid_cutout_v1_package.zip,C:\Users\jesse\Downloads\\sunny_rigid_cutout_v1_package.zip,zip,,87852115,3c34a2b6c23b95439318ad3f77b4cbd9243311c215e0cc7a86807a8b95220c32,,,,,,,,,top-level Sunny-named item
sunny_zero_deform_package.zip,C:\Users\jesse\Downloads\\sunny_zero_deform_package.zip,zip,,107415914,36ffa5ab9dfe5fe4898db78d9ff5e7121ba12c1cddd4eea3e108f5f515c8e2d1,,,,,,,,,top-level Sunny-named item
"ChatGPT Image Jul 31, 2026, 04_09_50 PM.png","C:\Users\jesse\Downloads\ChatGPT Image Jul 31, 2026, 04_09_50 PM.png",png,1536x1024,1627818,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #236 in top-level generic-image contact-sheet scan
"ChatGPT Image Jul 31, 2026, 04_09_56 PM.png","C:\Users\jesse\Downloads\ChatGPT Image Jul 31, 2026, 04_09_56 PM.png",png,1536x1024,1627818,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #237 in top-level generic-image contact-sheet scan
"ChatGPT Image Jul 31, 2026, 08_34_39 PM.png","C:\Users\jesse\Downloads\ChatGPT Image Jul 31, 2026, 08_34_39 PM.png",png,1024x1536,2158997,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #238 in top-level generic-image contact-sheet scan
"ChatGPT Image Jul 31, 2026, 08_35_00 PM.png","C:\Users\jesse\Downloads\ChatGPT Image Jul 31, 2026, 08_35_00 PM.png",png,1024x1536,2220415,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #239 in top-level generic-image contact-sheet scan
"ChatGPT Image Jul 31, 2026, 10_49_30 PM.png","C:\Users\jesse\Downloads\ChatGPT Image Jul 31, 2026, 10_49_30 PM.png",png,1536x1024,1789111,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #240 in top-level generic-image contact-sheet scan
"ChatGPT Image Jul 31, 2026, 10_51_58 PM.png","C:\Users\jesse\Downloads\ChatGPT Image Jul 31, 2026, 10_51_58 PM.png",png,1402x1122,2099022,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #241 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 1, 2026, 11_22_32 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 1, 2026, 11_22_32 AM.png",png,1536x1024,1781532,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #242 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 7, 2026, 04_16_17 PM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 7, 2026, 04_16_17 PM.png",png,1697x927,1687245,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #243 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 13, 2026, 06_37_22 PM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 13, 2026, 06_37_22 PM.png",png,1672x941,1666607,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #244 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 06_53_43 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 06_53_43 AM.png",png,1535x1024,2224263,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #245 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 07_39_27 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 07_39_27 AM.png",png,1758x895,2251401,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #246 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 07_41_44 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 07_41_44 AM.png",png,1672x941,2162300,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #247 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 07_45_26 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 07_45_26 AM.png",png,1672x941,2505857,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #248 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 07_50_21 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 07_50_21 AM.png",png,1916x821,2480899,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #249 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 07_50_56 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 07_50_56 AM.png",png,1916x821,2480899,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #250 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 07_51_35 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 07_51_35 AM.png",png,1672x941,2521267,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #251 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 10_29_55 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 10_29_55 AM.png",png,1048x1501,1522926,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #252 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 10_34_07 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 10_34_07 AM.png",png,1049x1499,1468064,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #253 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 10_35_45 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 10_35_45 AM.png",png,1774x887,2511558,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #254 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 10_42_43 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 10_42_43 AM.png",png,1774x887,2511558,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #255 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 10_47_08 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 10_47_08 AM.png",png,1774x887,2496689,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #256 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 10_53_01 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 10_53_01 AM.png",png,1774x887,2481684,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #257 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 11_06_44 AM (2).png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 11_06_44 AM (2).png",png,1536x1024,2140223,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #258 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 11_12_46 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 11_12_46 AM.png",png,1774x887,2504910,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #259 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 11_13_54 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 11_13_54 AM.png",png,1536x1024,2441915,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #260 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 14, 2026, 11_19_47 AM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 14, 2026, 11_19_47 AM.png",png,1448x1086,2338694,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #261 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 15, 2026, 09_43_46 PM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 15, 2026, 09_43_46 PM.png",png,1448x1086,1918369,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #262 in top-level generic-image contact-sheet scan
"ChatGPT Image Aug 15, 2026, 09_49_00 PM.png","C:\Users\jesse\Downloads\ChatGPT Image Aug 15, 2026, 09_49_00 PM.png",png,1491x1055,2183760,,SUNNY_CONFIRMED,see docs/SUNNY_ASSET_INVENTORY.md table,generic-image harvest cluster #236-263,unknown,unknown,unknown,SunnyUI-Source-Assets/05_Claude_Design_Exports or /03_Animation_Keyframes,high (visually verified),index #263 in top-level generic-image contact-sheet scan
